"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27364324",-2.55118377608691,5.92711180979339,-55.8634219380286,4.69913660032898e-21,3.7452118704622e-17,37.8767714293186
"27367344",-2.23220296375314,9.81111483630399,-52.2210362802632,1.5063100634752e-20,6.00264560294866e-17,36.401294643921
"27368072",-2.95611495044965,8.30776951954485,-44.0218397676969,2.86735038707126e-19,7.61759419498599e-16,34.2103619916732
"27364111",-2.35915937145981,9.68318779462279,-41.2159412761535,8.91176286984812e-19,1.67513530961481e-15,32.9428725151381
"27367673",-1.7723352443893,7.65537229955324,-40.342758844715,1.28811120857432e-18,1.67513530961481e-15,32.9174177586407
"27369601",-1.54446773576955,5.06778867127728,-40.1414627167101,1.40383901722607e-18,1.67513530961481e-15,32.6382125522102
"27368105",-1.36602795015464,7.67111736066938,-37.5491294169937,4.42188717698357e-18,4.32740569128545e-15,31.7320595354001
"27364535",-2.33993814816261,9.19847555608613,-37.3312336953249,4.88665636406136e-18,4.32740569128545e-15,31.4800011970084
"27364242",5.83622359968022,4.42795393507582,40.0321230199696,1.47126062325014e-18,1.67513530961481e-15,30.9847297723932
"27364162",-2.79837841638107,6.55720167595808,-35.33409620759,1.25534646374751e-17,1.00051113160677e-14,30.6845031301473
"27368147",-1.38768928458651,6.66853057093867,-34.8636545475801,1.5796709465634e-17,1.14454340401003e-14,30.4882173075366
"27369086",2.90349005104793,5.10384266353338,34.1295461009305,2.27486055499429e-17,1.51088655194204e-14,29.8910400078834
"27367070",-1.25613783671891,7.62676357875401,-33.1177266309349,3.80869139513197e-17,2.33502080147706e-14,29.614989145948
"27369484",-3.30003580113583,5.85267357649893,-32.8942218646371,4.27672247316798e-17,2.4346770079392e-14,29.4332431580459
"27365188",-1.44274295357686,10.1244106596818,-32.3827335548743,5.59193879779687e-17,2.97118348122941e-14,29.0661898373399
"27370213",-1.20668438063347,6.85719368693047,-31.8910497798473,7.26436269191787e-17,3.61856066591159e-14,28.9724227657906
"27367915",1.15725982356443,5.65757020352879,31.2893538160846,1.00597813477135e-16,4.71626219654569e-14,28.6355392604497
"27369938",-1.3633577920992,6.69514267124477,-29.8675428610399,2.2254720006496e-16,9.85389546954296e-14,27.8507026382428
"27364831",-1.09375719181633,7.63881635755616,-29.6867419623633,2.46832476201926e-16,1.03539728175229e-13,27.7478327969095
"27366367",-2.66215486743691,4.91554826511803,-28.4479656159629,5.103552478642e-16,2.03376566273884e-13,26.976069773181
"27368811",-2.02630323613249,5.38489178638824,-27.9284052379196,6.98444651294383e-16,2.65076374800773e-13,26.7096212500185
"27371138",5.09244886877627,5.55193091093031,27.5163713082468,8.99354350821361e-16,3.25811553456648e-13,26.2962551112597
"27371167",1.53601968919828,5.23152470636235,27.1076466012872,1.15988341445758e-15,4.01924817966386e-13,26.203635353628
"27371050",-1.49384312166087,7.96356150379567,-26.8732015227592,1.34433983732277e-15,4.46432854310935e-13,26.0489538173663
"27371388",1.29101877635447,4.81297367797365,26.7456037508786,1.45753104356997e-15,4.64660896690107e-13,25.962464297101
"27370536",1.43139812920608,7.22295517808382,26.6387031502392,1.56010946353361e-15,4.67291066350577e-13,25.8934424136051
"27369035",-1.70124979161759,6.48463327197725,-26.6158185630402,1.58304376304461e-15,4.67291066350577e-13,25.8775444929729
"27365758",-1.54172733135766,9.26759614283273,-26.2542198126012,1.99679472859158e-15,5.48774275409478e-13,25.6646412611419
"27364195",-3.11423442810019,6.1623115791513,-26.1488342785358,2.13782445120666e-15,5.67948695870569e-13,25.5968589488478
"27366561",2.30619713319626,3.96770880202949,26.2614010762423,1.98754922367795e-15,5.48774275409478e-13,25.4939656385246
"27364295",-1.4013168818097,9.93785464401663,-25.9434319258219,2.44381296361898e-15,6.28296429678815e-13,25.4483959320608
"27368590",-1.2722525235886,9.70877847139145,-25.6845164208545,2.89685513767136e-15,7.04672462663332e-13,25.2882541160615
"27368330",-0.622975223245591,7.44856307577349,-25.6736468916644,2.91771534101505e-15,7.04672462663332e-13,25.2417227497138
"27364237",-1.03249498458965,8.57998045561451,-25.6015772523589,3.06010318609217e-15,7.1732418803396e-13,25.2331598191346
"27366314",-1.18090444638045,8.47287389050201,-25.4965087187114,3.28097994358634e-15,7.4712600429666e-13,25.1603710269137
"27365374",1.14174750895894,5.45008870470363,25.3169000954121,3.69845022599417e-15,8.0897542541953e-13,25.0478578340625
