"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27368271",-1.17338002520546,7.30976527906492,-35.7852880613237,1.00984065815292e-17,8.0484300454788e-14,29.9041957928991
"27367670",2.85449848485226,7.42532735157999,31.6547910128873,8.24907153444449e-17,3.28725500647613e-13,27.9790595703422
"27368268",-1.15299552635329,6.24445622932729,-27.5218017671379,8.96341525434741e-16,2.38128065257163e-12,26.0152044025329
"27369971",3.18281138019699,7.76966820802236,24.1974007926806,7.94973194587053e-15,1.5839840902147e-11,23.9374057147388
"27369575",2.6595725218656,9.06009627073632,20.3162117502934,1.50177025306695e-13,2.35075266245973e-10,21.1131237115948
"27367808",2.42906814456106,7.68195361160154,20.1175025060633,1.76970087512652e-13,2.35075266245973e-10,21.1047066225915
"27368276",-1.00089386102166,6.81493419400935,-17.8419779163538,1.29983784008056e-12,1.47995822649172e-09,19.2039923985664
"27367945",0.902107471300967,5.88317424950977,17.4110417405131,1.94582241901723e-12,1.93852558494591e-09,18.7850488931082
"27368263",-1.0040905832767,6.5481959345905,-17.2187711482018,2.33635204661095e-12,2.06896953460992e-09,18.6261771857297
"27371326",-0.92906372211082,5.50457610614123,-16.3610039938467,5.4057536978865e-12,4.30838569721554e-09,17.7699389288542
"27369346",0.528690190412884,6.92373348519873,16.0805723720131,7.17205115195003e-12,5.18694419444218e-09,17.5177856892798
"27368891",-2.05680165686199,4.22144643742272,-15.9186651993591,8.46051123309264e-12,5.18694419444218e-09,17.0277140181782
"27370665",1.63352702044336,4.09009614754634,15.9398477795129,8.27889966662692e-12,5.18694419444218e-09,16.7731985839031
"27370613",-1.04026555687256,4.09075237850405,-15.4990674334116,1.30730269593585e-11,7.44228749043483e-09,16.7015364098251
"27364185",0.881813673634992,7.1349346921369,15.1048664466399,1.9862277347063e-11,9.91808210349630e-09,16.5036486207777
"27367706",-2.98186794384719,4.80374105499373,-15.1025912758342,1.99108298188131e-11,9.91808210349630e-09,16.3969995654153
"27364045",0.890602839929691,8.20132892148074,14.8760701251757,2.54305176908143e-11,1.1500448449922e-08,16.2612942399498
"27364242",-1.68296262220111,4.42795393507582,-14.8566532370796,2.5973409297189e-11,1.1500448449922e-08,16.1509476275264
"27365948",-1.41945323080917,4.53911644170145,-14.6923457165664,3.10866761179917e-11,1.30400425610734e-08,15.921916065561
"27370909",0.635474119130887,6.30864425223889,14.2054892157606,5.34939150738522e-11,2.13173251569301e-08,15.5174947721401
"27368267",-1.58394445890673,7.09189499699243,-13.5939457784559,1.08225129324299e-10,4.10740133673648e-08,14.8143898327873
"27366554",-1.16860425540357,3.94067693289308,-13.528445499799,1.16892920834682e-10,4.23471172296553e-08,14.6365438280365
"27371606",-3.19309047917969,4.19052149451141,-13.2619742814215,1.60443398034877e-10,5.55971253190421e-08,14.389432479995
